LegalAddress,Coordinates
"119192, ГОРОД МОСКВА, ПРОСПЕКТ МИЧУРИНСКИЙ, 5, 1","(('37.512658'), ('55.7025'))"
"101000, ГОРОД МОСКВА, ПЕРЕУЛОК УЛАНСКИЙ, ДОМ 8","(('37.637928'), ('55.767914'))"
"109651, г.  Москва, Батайский пр., д. 21","(('37.718732'), ('55.643292'))"
"109125, ГОРОД МОСКВА, УЛИЦА ВАСИЛЬЦОВСКИЙ СТАН, 6","(('37.752176'), ('55.714653'))"
"107143, ГОРОД МОСКВА, ШОССЕ ОТКРЫТОЕ, 23А","(('37.752957'), ('55.827095'))"
"117534, г. Москва, ул. Кировоградская, д. 42, корпус 2","(('37.593938'), ('55.599591'))"
"107065, ГОРОД МОСКВА, УЛИЦА УССУРИЙСКАЯ, ДОМ 12","(('37.817843'), ('55.822084'))"
"119333, ГОРОД МОСКВА, УЛИЦА ФОТИЕВОЙ, 14, 1","(('37.558275'), ('55.699071'))"
"127018, ГОРОД МОСКВА, УЛИЦА ДВИНЦЕВ, ДОМ 10","(('37.60081'), ('55.795555'))"
"125222, ГОРОД МОСКВА, УЛИЦА РОСЛОВКА, 8","(('37.360466'), ('55.830255'))"
"109369, ГОРОД МОСКВА, УЛИЦА ПЕРЕРВА, 44","(('37.735575'), ('55.651521'))"
"117639, ГОРОД МОСКВА, ПРОСПЕКТ БАЛАКЛАВСКИЙ, 6А","(('37.613072'), ('55.641534'))"
"111402, ГОРОД МОСКВА, АЛЛЕЯ ЖЕМЧУГОВОЙ, ДОМ 7","(('37.827257'), ('55.732945'))"
"117623, ГОРОД МОСКВА, УЛИЦА ДЖАНКОЙСКАЯ, 7","(('37.577831'), ('55.540536'))"
"127247, ГОРОД МОСКВА, ПРОЕЗД БЕСКУДНИКОВСКИЙ, ДОМ 4Б","(('37.555463'), ('55.875203'))"
"121433, ГОРОД МОСКВА, УЛИЦА ФИЛЁВСКАЯ М., 26, 2","(('37.462694'), ('55.736265'))"
"124536, г. Москва, г. Зеленоград, корп. 529","(('37.255327'), ('55.990061'))"
"125239, ГОРОД МОСКВА, УЛИЦА НОВОПЕТРОВСКАЯ, 1А","(('37.519234'), ('55.827666'))"
"111674, ГОРОД МОСКВА, УЛИЦА 2-Я ВОЛЬСКАЯ, ДОМ 7, КОРПУС 2","(('37.923116'), ('55.688126'))"
"125364, ГОРОД МОСКВА, УЛИЦА СВОБОДЫ, 42, 2","(('37.456037'), ('55.846643'))"
"127221, ГОРОД МОСКВА, ПРОЕЗД ШОКАЛЬСКОГО, 7, 2","(('37.642896'), ('55.874511'))"
"125480, ГОРОД МОСКВА, УЛИЦА ПЛАНЕРНАЯ, 5, 2","(('37.431468'), ('55.860438'))"
"108820, ГОРОД МОСКВА, ПОСЕЛЕНИЕ МОСРЕНТГЕН, ПОСЕЛОК ЗАВОДА МОСРЕНТГЕН, ДОМ 38","(('37.476429'), ('55.620581'))"
"107045, ГОРОД МОСКВА, УЛИЦА СРЕТЕНКА, ДОМ 20","(('37.632952'), ('55.76917'))"
"119192, ГОРОД МОСКВА, ПРОСПЕКТ МИЧУРИНСКИЙ, ДОМ 15, КОРПУС 2","(('37.509083'), ('55.698224'))"
"109117, ГОРОД МОСКВА, УЛИЦА ОКСКАЯ, ДОМ 16, КОРПУС 3","(('37.757278'), ('55.710854'))"
"125481, ГОРОД МОСКВА, УЛИЦА ФОМИЧЁВОЙ, 1, 1","(('37.446892'), ('55.857462'))"
"111673, ГОРОД МОСКВА, УЛИЦА СУЗДАЛЬСКАЯ, 24Б","(('37.859623'), ('55.742149'))"
"108830, ГОРОД МОСКВА, ПОСЕЛЕНИЕ ВОРОНОВСКОЕ, ПОСЕЛОК ЛМС, МИКРОРАЙОН ЦЕНТРАЛЬНЫЙ, ДОМ 34, СТРОЕНИЕ 3","(('37.181656'), ('55.313926'))"
"125009, г. Москва, ул. Большая Дмитровка, д. 5/6, стр. 7","(('37.614734'), ('55.759653'))"
"127276, ГОРОД МОСКВА, УЛИЦА МАРФИНСКАЯ Б., 1, 5","(('37.592087'), ('55.827808'))"
"119619, ГОРОД МОСКВА, УЛИЦА НАРО-ФОМИНСКАЯ, 1","(('37.390604'), ('55.657738'))"
"117628, ГОРОД МОСКВА, УЛИЦА РАТНАЯ, 6Б","(('37.586706'), ('55.573953'))"
"105066, ГОРОД МОСКВА, ПРОЕЗД ЕЛОХОВСКИЙ, 1, СТР 5","(('37.672666'), ('55.773003'))"
"125362, ГОРОД МОСКВА, УЛИЦА БОЛЬШАЯ НАБЕРЕЖНАЯ, 23","(('37.459352'), ('55.833097'))"
"129301, ГОРОД МОСКВА, УЛИЦА ЯРОСЛАВСКАЯ, ДОМ 27","(('37.653137'), ('55.827408'))"
"129337, ГОРОД МОСКВА, ШОССЕ ЯРОСЛАВСКОЕ, ДОМ 8, КОРПУС 7","(('37.688252'), ('55.851444'))"
"119333, ГОРОД МОСКВА, УЛ. ФОТИЕВОЙ, Д. 18","(('37.556442'), ('55.697985'))"
"127474, ГОРОД МОСКВА, УЛИЦА ДУБНИНСКАЯ, 41","(('37.561437'), ('55.868263'))"
"127220, ГОРОД МОСКВА, УЛИЦА ПИСЦОВАЯ, 7А","(('37.574408'), ('55.797291'))"
"121354, ГОРОД МОСКВА, УЛИЦА ДОРОГОБУЖСКАЯ, 13","(('37.41599'), ('55.716179'))"
"109240, ГОРОД МОСКВА, ПЕРЕУЛОК 1-Й КОТЕЛЬНИЧЕСКИЙ, ДОМ 5","(('37.646354'), ('55.743613'))"
"123592, ГОРОД МОСКВА, УЛИЦА КУЛАКОВА, ДОМ 25, КОРПУС 2","(('37.394934'), ('55.802305'))"
"123458, ГОРОД МОСКВА, УЛИЦА ТАЛЛИНСКАЯ, 16, 4","(('37.4008'), ('55.79681'))"
"123308, ГОРОД МОСКВА, УЛИЦА ЗОРГЕ, ДОМ 4","(('37.514212'), ('55.778866'))"
"119121, г. Москва, пер. Тружеников 1-ый, д. 18","(('37.571471'), ('55.737015'))"
"121351, ГОРОД МОСКВА, УЛИЦА ПОЛОЦКАЯ, ДОМ 21","(('37.423518'), ('55.732352'))"
"129128, г. Москва, ул. Ростокинская д.3","(('37.660727'), ('55.835432'))"
"127204, ГОРОД МОСКВА, ЛИНИЯ 9-Я СЕВЕРНАЯ, 1, 2","(('37.556316'), ('55.935113'))"
"125222, ГОРОД МОСКВА, УЛИЦА ДУБРАВНАЯ, 41, 3","(('37.36122'), ('55.841402'))"
"105425, ГОРОД МОСКВА, ШОССЕ ЩЁЛКОВСКОЕ, ДОМ 26, КОРПУС А","(('37.779584'), ('55.808083'))"
"111558, г. Москва, Федеративный просп., д. 27","(('37.820187'), ('55.754887'))"
"105484, ГОРОД МОСКВА, БУЛЬВАР СИРЕНЕВЫЙ, ДОМ 73, КОРПУС 3","(('37.827841'), ('55.80486'))"
"121096, ГОРОД МОСКВА, УЛИЦА КАСТАНАЕВСКАЯ, ДОМ 10","(('37.495725'), ('55.740446'))"
"117535, ГОРОД МОСКВА, УЛИЦА ДОРОЖНАЯ, 20А","(('37.620977'), ('55.602342'))"
"121352, ГОРОД МОСКВА, УЛИЦА ДАВЫДКОВСКАЯ, 2, 6","(('37.473698'), ('55.725559'))"
"115280, ГОРОД МОСКВА, ПРОЕЗД 1-Й КОЖУХОВСКИЙ, 17","(('37.663925'), ('55.70807'))"
"111401, ГОРОД МОСКВА, УЛИЦА ВЛАДИМИРСКАЯ 2-Я, 22А","(('37.779305'), ('55.755956'))"
"117393, ГОРОД МОСКВА, УЛИЦА АКАДЕМИКА ПИЛЮГИНА, 18, 1","(('37.534101'), ('55.669194'))"
"141431, ГОРОД МОСКВА, УЛИЦА СИНЯВИНСКАЯ, ДОМ 11, КОРПУС А","(('37.347036'), ('55.945685'))"
"111674, ГОРОД МОСКВА, ПРОСПЕКТ ЗАЩИТНИКОВ МОСКВЫ, 9, 2","(('37.918544'), ('55.701673'))"
"125466, ГОРОД МОСКВА, УЛИЦА ЛАНДЫШЕВАЯ, 8","(('37.392032'), ('55.886998'))"
"117624, ГОРОД МОСКВА, УЛИЦА ИЗЮМСКАЯ, ДОМ 35А","(('37.568929'), ('55.551731'))"
"119048, ГОРОД МОСКВА, УЛИЦА УСАЧЁВА, ДОМ 50","(('37.56494'), ('55.725808'))"
"111024 г. Москва, ул. Авиамоторная, д. 30а, корп.1","(('37.719342'), ('55.744667'))"
"127642, ГОРОД МОСКВА, УЛИЦА ЗАПОВЕДНАЯ, ДОМ 22","(('37.642653'), ('55.867465'))"
"121069, ГОРОД МОСКВА, УЛИЦА ПОВАРСКАЯ, 14","(('37.597226'), ('55.754137'))"
"115583, ГОРОД МОСКВА, УЛИЦА ЕЛЕЦКАЯ, ДОМ 12, КОРПУС 3","(('37.72917'), ('55.606848'))"
"109129, г. Москва, ул. Юных Ленинцев, д. 35, корп. 2","(('37.744648'), ('55.700781'))"
"127490, ГОРОД МОСКВА, УЛИЦА ПЕСТЕЛЯ, ДОМ 5","(('37.613494'), ('55.864439'))"
"117648, ГОРОД МОСКВА, МИКРОРАЙОН ЧЕРТАНОВО СЕВЕРНОЕ, КОРПУС 809","(('37.596579'), ('55.634857'))"
"119620, г. Москва, улица Авиаторов, дом 8, корпус 2","(('37.399973'), ('55.646584'))"
"119334, ГОРОД МОСКВА, ПРОСПЕКТ ЛЕНИНСКИЙ, 34, А","(('37.57484'), ('55.706741'))"
"109388, ГОРОД МОСКВА, УЛИЦА ГУРЬЯНОВА, ДОМ 71","(('37.720106'), ('55.677443'))"
"117405, ГОРОД МОСКВА, УЛИЦА ГАЗОПРОВОД, ДОМ 5А","(('37.605247'), ('55.591421'))"
"119602, ГОРОД МОСКВА, УЛИЦА МИЧУРИНСКИЙ ПРОСПЕКТ.ОЛИМПИЙСКАЯ ДЕРЕВНЯ, ДОМ 23","(('37.457996'), ('55.671113'))"
"127540, ГОРОД МОСКВА, ПРОЕЗД КЕРАМИЧЕСКИЙ, ДОМ 47А","(('37.566368'), ('55.872481'))"
"129327, ГОРОД МОСКВА, ПРОЕЗД ЧУКОТСКИЙ, 6","(('37.654044'), ('55.868198'))"
"124498, ГОРОД МОСКВА, ГОРОД ЗЕЛЕНОГРАД, АЛЛЕЯ БЕРЁЗОВАЯ, 8А","(('37.202524'), ('55.995282'))"
"125464, ГОРОД МОСКВА, ПРОЕЗД НОВОТУШИНСКИЙ, ДОМ 8, КОРПУС 2","(('37.381405'), ('55.839749'))"
"115093, ГОРОД МОСКВА, УЛИЦА ПАВЛОВСКАЯ, 8А","(('37.625657'), ('55.714333'))"
"115304, ГОРОД МОСКВА, УЛИЦА ЕРЕВАНСКАЯ, 20, 2","(('37.674067'), ('55.628789'))"
"107564, ГОРОД МОСКВА, УЛИЦА КРАСНОБОГАТЫРСКАЯ, 21А","(('37.701888'), ('55.812793'))"
"117216, ГОРОД МОСКВА, УЛИЦА ГРИНА, 18, Б","(('37.581604'), ('55.567306'))"
"129337, ГОРОД МОСКВА, УЛИЦА ФЕДОСКИНСКАЯ, 4","(('37.703748'), ('55.868773'))"
"125222, ГОРОД МОСКВА, УЛИЦА ПЕНЯГИНСКАЯ, ДОМ 14","(('37.359522'), ('55.836059'))"
"117149, г. Москва, ул. Азовская, дом 2, корпус 2","(('37.603918'), ('55.663639'))"
"108801, Г. МОСКВА, П. СОСЕНСКОЕ, П. КОММУНАРКА, УЛ. ЛИПОВЫЙ ПАРК, Д. 5А","(('37.493497'), ('55.567535'))"
"125466, ГОРОД МОСКВА, УЛИЦА ЮРОВСКАЯ, ДОМ 99","(('37.384972'), ('55.900486'))"
"105122, ГОРОД МОСКВА, УЛИЦА АМУРСКАЯ, ДОМ 6","(('37.759794'), ('55.80654'))"
"127081, ГОРОД МОСКВА, ПРОЕЗД ЯСНЫЙ, ДОМ 21","(('37.618282'), ('55.877607'))"
"119192, город Москва, улица Столетова, дом 3","(('37.504025'), ('55.703276'))"
"121357, ГОРОД МОСКВА, УЛИЦА КРЕМЕНЧУГСКАЯ, 46","(('37.456226'), ('55.712046'))"
"119607, ГОРОД МОСКВА, УЛИЦА РАМЕНКИ, 15, 1","(('37.500414'), ('55.690466'))"
"127486, ГОРОД МОСКВА, УЛИЦА ДЕГУНИНСКАЯ, ДОМ 18","(('37.534316'), ('55.867359'))"
"117041, ГОРОД МОСКВА, УЛИЦА АДМИРАЛА РУДНЕВА, ДОМ 16, КОРПУС 1","(('37.519243'), ('55.540501'))"
"124482, ГОРОД МОСКВА, ГОРОД ЗЕЛЕНОГРАД, УЛИЦА НЕТ, 314","(('37.22093'), ('55.99799'))"
"125565, г. Москва, Ленинградское ш., д.94А","(('37.473276'), ('55.856098'))"
"119027, ГОРОД МОСКВА, УЛИЦА ВНУКОВСКАЯ Б., 4","(('37.294727'), ('55.614251'))"
"127238, ГОРОД МОСКВА, ПРОЕЗД НИЖНЕЛИХОБОРСКИЙ 3-Й, ДОМ 6А","(('37.565452'), ('55.844036'))"
"125466, г. Москва, ул. Родионовская, д. 6/7","(('37.397665'), ('55.89449'))"
"125124, город Москва, улица Расковой, дом 20А, строение 1","(('37.573905'), ('55.787437'))"
"117403, ГОРОД МОСКВА, ПРОЕЗД ВОСТРЯКОВСКИЙ, 13А","(('37.645285'), ('55.577739'))"
"117041, ГОРОД МОСКВА, УЛИЦА АДМИРАЛА ЛАЗАРЕВА, 77","(('37.495294'), ('55.534591'))"
"111401, город Москва,улица 3-я Владимирская, дом 12 А","(('37.783644'), ('55.759527'))"
"129110, ГОРОД МОСКВА, ПЕРЕУЛОК ГЛИНИСТЫЙ, 7, СТР.1","(('37.637272'), ('55.787543'))"
"123056, ГОРОД МОСКВА, ПЕРЕУЛОК БОЛЬШОЙ КОНДРАТЬЕВСКИЙ, 3","(('37.582269'), ('55.772578'))"
"125565, ГОРОД МОСКВА, ПРОЕЗД КОНАКОВСКИЙ, 5","(('37.481154'), ('55.845895'))"
"127410, ГОРОД МОСКВА, ПРОЕЗД ПУТЕВОЙ, 10, А","(('37.580023'), ('55.87546'))"
"105043, ГОРОД МОСКВА, УЛИЦА ПЕРВОМАЙСКАЯ, ДОМ 65","(('37.795753'), ('55.793743'))"
"107143, ГОРОД МОСКВА, ШОССЕ ОТКРЫТОЕ, ДОМ 29А","(('37.761276'), ('55.829072'))"
"105215, ГОРОД МОСКВА, УЛИЦА ПАРКОВАЯ 11-Я, ДОМ 50","(('37.806317'), ('55.807319'))"
"107113, ГОРОД МОСКВА, УЛИЦА РУСАКОВСКАЯ, ДОМ 10","(('37.674705'), ('55.782471'))"
"125430, ГОРОД МОСКВА, ШОССЕ ПЯТНИЦКОЕ, ДОМ 21А","(('37.369754'), ('55.847083'))"
"117628, ГОРОД МОСКВА, УЛИЦА СТАРОКАЧАЛОВСКАЯ, 22","(('37.584685'), ('55.570472'))"
"124683, ГОРОД МОСКВА, ГОРОД ЗЕЛЕНОГРАД, КОРПУС 1816","(('37.16572'), ('55.982089'))"
"117485, ГОРОД МОСКВА, УЛИЦА ПРОФСОЮЗНАЯ, 96Б","(('37.525001'), ('55.64985'))"
"117198, ГОРОД МОСКВА, УЛИЦА САМОРЫ МАШЕЛА, ДОМ 6, КОРПУС 3","(('37.498653'), ('55.64605'))"
"127566, ГОРОД МОСКВА, БУЛЬВАР СЕВЕРНЫЙ, 1А","(('37.601546'), ('55.866723'))"
"109542, ГОРОД МОСКВА, ПРОСПЕКТ РЯЗАНСКИЙ, 82, 4","(('37.823745'), ('55.707588'))"
"123458, ГОРОД МОСКВА, УЛИЦА ТАЛЛИНСКАЯ, 20, 4","(('37.404869'), ('55.797063'))"
"109457, ГОРОД МОСКВА, УЛИЦА ЗЕЛЕНОДОЛЬСКАЯ, 32, 6","(('37.766818'), ('55.71163'))"
"127220, ГОРОД МОСКВА, УЛИЦА НИЖНЯЯ МАСЛОВКА, ДОМ 16","(('37.573474'), ('55.792301'))"
"125466, ГОРОД МОСКВА, УЛИЦА СОКОЛОВО-МЕЩЕРСКАЯ, ВЛ 27","(('37.382834'), ('55.903978'))"
"107589, ГОРОД МОСКВА, УЛИЦА ХАБАРОВСКАЯ, 18А","(('37.829521'), ('55.824582'))"
"127282, ГОРОД МОСКВА, УЛИЦА ШИРОКАЯ, 1А","(('37.650657'), ('55.889775'))"
"127591, ГОРОД МОСКВА, УЛИЦА 800-ЛЕТИЯ МОСКВЫ, 7А","(('37.561895'), ('55.881641'))"
"105568, ГОРОД МОСКВА, УЛИЦА ЧЕЧУЛИНА, ДОМ 28","(('37.836645'), ('55.781028'))"
"125445, ГОРОД МОСКВА, ПРОЕЗД ВАЛДАЙСКИЙ, 14","(('37.468515'), ('55.868187'))"
"105568, г. Москва, ул. Челябинская, дом 20","(('37.831165'), ('55.776912'))"
"123154, ГОРОД МОСКВА, УЛИЦА НАРОДНОГО ОПОЛЧЕНИЯ, 27, 2","(('37.477256'), ('55.780436'))"
"109341, ГОРОД МОСКВА, УЛИЦА БРАТИСЛАВСКАЯ, ДОМ 4","(('37.751314'), ('55.665203'))"
"117042, ГОРОД МОСКВА, УЛИЦА ГОРЧАКОВА, 9, 1","(('37.53278'), ('55.544754'))"
"115054, ГОРОД МОСКВА, ПЕРЕУЛОК 5-Й МОНЕТЧИКОВСКИЙ, 7","(('37.632089'), ('55.732038'))"
"108803, ГОРОД МОСКВА, ПОСЕЛЕНИЕ ВОСКРЕСЕНСКОЕ, ПОСЕЛОК ВОСКРЕСЕНСКОЕ, ДОМ 37А","(('37.457861'), ('55.522296'))"
"127576, ГОРОД МОСКВА, УЛИЦА НОВГОРОДСКАЯ, 8","(('37.581379'), ('55.893339'))"
"121552, ГОРОД МОСКВА, УЛИЦА ОРШАНСКАЯ, 10, 1","(('37.410583'), ('55.742939'))"
"111674, ГОРОД МОСКВА, УЛИЦА 1-Я ВОЛЬСКАЯ, ДОМ 9, КОРПУС 3","(('37.920781'), ('55.684356'))"
"117452, ГОРОД МОСКВА, БУЛЬВАР ЧЕРНОМОРСКИЙ, 6","(('37.614276'), ('55.646457'))"
"115408, г. Москва, ул. Борисовские пруды, д. 36, корп. 2","(('37.766172'), ('55.639933'))"
"117593, ГОРОД МОСКВА, БУЛЬВАР ЛИТОВСКИЙ, 17, 4","(('37.552696'), ('55.606044'))"
"129344, ГОРОД МОСКВА, УЛИЦА РАДУЖНАЯ, ДОМ 7","(('37.668435'), ('55.859266'))"
"117303, ГОРОД МОСКВА, УЛИЦА ОДЕССКАЯ, 16, 2","(('37.588575'), ('55.65656'))"
"109431, ГОРОД МОСКВА, БУЛЬВАР ЖУЛЕБИНСКИЙ, 38","(('37.847829'), ('55.683899'))"
"119633, ГОРОД МОСКВА, УЛИЦА НОВОПЕРЕДЕЛКИНСКАЯ, ДОМ 9, КОРПУС 1","(('37.363529'), ('55.63909'))"
"119454, ГОРОД МОСКВА, УЛИЦА ЛОБАЧЕВСКОГО, 54","(('37.492814'), ('55.672757'))"
"129343, г. Москва, пр-д Нансена, д.14","(('37.652041'), ('55.853653'))"
"123181, г. Москва, ул. Кулакова, д. 2, корп. 2","(('37.398473'), ('55.815787'))"
"121151, ГОРОД МОСКВА, ПРОСПЕКТ КУТУЗОВСКИЙ, 22, 1","(('37.549588'), ('55.746613'))"
"117393, ГОРОД МОСКВА, УЛИЦА ПРОФСОЮЗНАЯ, ДОМ 62","(('37.549642'), ('55.666929'))"
"123154, ГОРОД МОСКВА, УЛИЦА ГЕНЕРАЛА ГЛАГОЛЕВА, 10, 2","(('37.464589'), ('55.781185'))"
